Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Eight Flake","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886184/eight-flake,3.1,-1,Sport,5.8,1,,30.3623,-98.125
"Dead Cats Dont Meow","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105897978/dead-cats-dont-meow,2.7,-1,Sport,5.10b/c,1,,30.3636,-98.1255
"Water Ballet","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105855177/water-ballet,2.7,-1,"Sport, TR",5.10b/c,1,30,30.3636,-98.1255
"My Name is Mud","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105899176/my-name-is-mud,2.5,-1,Sport,5.9,1,,30.3636,-98.1255
"Hello Kitty","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106325190/hello-kitty,2.3,-1,Sport,5.10a,1,,30.3636,-98.1255
"Back Flip","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105897974/back-flip,2.1,-1,Sport,5.9,1,,30.3636,-98.1255
"Scotts Pelotas","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105897971/scotts-pelotas,2.1,-1,Sport,5.8,1,,30.3636,-98.1255
Madrone,"Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106769501/madrone,2.3,-1,Sport,5.9,1,30,30.3636,-98.1255
"Talk It Up","Rhetoric Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107981634/talk-it-up,2.6,-1,Sport,5.8,1,,30.36395,-98.12573
Reimerama,"Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107968230/reimerama,2.5,-1,Sport,5.10a,1,40,30.3636,-98.1255
"God Bless the IRS","Serpent Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107727252/god-bless-the-irs,2.5,-1,Sport,5.9-,1,40,30.36319,-98.12532
"Deviance (aka 5.10 roof)","Sunshine Roof > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108764385/deviance-aka-510-roof,3.1,-1,Sport,"5.10a PG13",1,50,30.3631,-98.12506
"Hair Balls and Spray","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108197579/hair-balls-and-spray,2.5,-1,Sport,5.10b,1,40,30.3636,-98.1255
"El Primero","Serpent Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107727242/el-primero,2.5,-1,Sport,5.9+,1,40,30.36319,-98.12532
Antivenin,"Serpent Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107727267/antivenin,2.4,-1,Sport,5.8,1,35,30.36319,-98.12532
"Rolly Pollly Coco Kitty","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105900624/rolly-pollly-coco-kitty,2.1,-1,Sport,5.7,1,,30.3636,-98.1255
"Tryin' to Be Sexy","Oblivion Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107725154/tryin-to-be-sexy,2.4,-1,Sport,5.10a,1,,30.3624,-98.1249
"Almost Nothing To It","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105899189/almost-nothing-to-it,2.1,-1,Sport,5.9,1,,30.3636,-98.1255
Jugfest,"Taint Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108938094/jugfest,2.9,-1,Sport,5.8,1,40,30.36246,-98.12483
