Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Halfling's Leaf","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107881102/halflings-leaf,2.6,-1,Sport,5.8,1,30,30.37729,-98.11693
"My Precious","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107940740/my-precious,2.4,-1,Sport,5.8,1,,30.37729,-98.11693
"Amazing Legacy of J.R.R. Tolkein","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107911035/amazing-legacy-of-jrr-tolkein,2.5,-1,Sport,5.10a,1,30,30.37729,-98.11693
"A Mortal Life","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107911046/a-mortal-life,2.5,-1,Sport,5.10a,1,30,30.37729,-98.11693
"Orc's Drool","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108770959/orcs-drool,2.5,-1,Sport,5.10a,1,40,30.37729,-98.11693
"Psycho Killer","Insanity Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/109768846/psycho-killer,2.8,-1,Sport,5.10b,1,45,30.37708,-98.1178
"Hello World","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108770908/hello-world,2.3,-1,Sport,5.8,1,40,30.37729,-98.11693
"Bilbo's Bag","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108315440/bilbos-bag,2.2,-1,Sport,5.9,1,35,30.37729,-98.11693
"Hobbit Hole","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108766026/hobbit-hole,2.1,-1,Sport,5.7,1,40,30.37729,-98.11693
"Blood of Dwarves","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108766019/blood-of-dwarves,2.2,-1,Sport,5.9,1,35,30.37729,-98.11693
"Corsicane Brothers","Cheech and Chong Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108702888/corsicane-brothers,2.8,-1,Sport,5.10b,1,30,30.37774,-98.11552
"Champaign and Strawberries","Little Guide's Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108155765/champaign-and-strawberries,2.7,-1,Sport,5.10a/b,1,20,30.37843,-98.1138
Fallohide,"Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108662382/fallohide,2.1,-1,Sport,5.7,1,30,30.37729,-98.11693
"Troll Teeth","Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107788106/troll-teeth,2.4,-1,Sport,5.10b,1,,30.37729,-98.11693
"Gypsy's Magic","Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108579534/gypsys-magic,2.5,-1,Sport,"5.7 PG13",1,,30.37766,-98.11613
"Living on The Edge","Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107911100/living-on-the-edge,2.6,-1,Sport,5.10b,1,20,30.37766,-98.11613
Tookish,"Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108766012/tookish,2.1,-1,Sport,5.8,1,35,30.37729,-98.11693
Snagglefarkin',"Middle Earth Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/112346503/snagglefarkin,2.6,-1,Sport,5.10b,1,40,30.37729,-98.11693
"Rock Gypsy","Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108309328/rock-gypsy,2.4,-1,Sport,5.7,1,,30.37766,-98.11613
"The Dude Abides","The Dude Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/112980451/the-dude-abides,2.9,-1,Sport,5.7,1,,30.37645,-98.11983
"A Walk with Kirky","Awesome Roof > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108764614/a-walk-with-kirky,2.6,-1,Sport,"5.8 R",1,60,30.37867,-98.11334
